"0.000","Info","2020-08-03 17:28:45","Service 'cocc_96' : Execution start"
"0.000","Info","Apparatus","Zantiks AD internal Unit"
"0.000","Info","Unit ID","3C208A"
"TIME","TEMPERATURE","VARIABLE","TREATMENT","SERIES","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","ARENA_ACTIVITY","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4"
"90.388",,"ARENA_DISTANCES","DARK",1,0,0,0,666,0,0,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,2.510391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"150.412",,"ARENA_DISTANCES","DARK",2,0,0,0,477,0,0,0,0,0,0,15,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.013641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"210.431",,"ARENA_DISTANCES","DARK",3,0,0,0,561,0,0,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,2.816650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"270.454",,"ARENA_DISTANCES","DARK",4,0,0,0,270,0,0,99,0,0,0,0,91,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.036697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"330.478",,"ARENA_DISTANCES","DARK",5,0,0,0,546,0,0,226,0,0,0,0,13,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,3.197250,0.000000,0.000000,0.000076,0.000000,0.000000,0.000000,0.000000,0.000000
"390.499",,"ARENA_DISTANCES","DARK",6,0,0,0,74,0,0,207,0,0,0,0,7,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,9.267990,0.000000,0.000000,0.039291,0.000000,0.000000,0.000000,0.000000,0.000000
"450.518",,"ARENA_DISTANCES","DARK",7,0,0,0,115,0,0,118,0,0,0,0,12,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,9.223862,0.000000,0.000000,0.000351,0.000000,0.000000,0.000000,0.000000,0.000000
"510.542",,"ARENA_DISTANCES","DARK",8,0,0,0,98,0,0,484,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,9.376099,0.000000,0.000000,32.646866,0.000000,0.000000,0.000000,0.000000,0.000000
"570.564",,"ARENA_DISTANCES","DARK",9,0,0,0,442,0,0,66,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,9.725082,0.000000,0.000000,0.172119,0.000000,0.000000,0.000000,0.000000,0.000000
"630.588",,"ARENA_DISTANCES","DARK",10,0,0,0,642,0,0,0,0,0,0,15,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,7.904037,0.000000,0.000000,0.000137,0.000000,0.000000,0.000000,0.000000,0.000000
"690.606",,"ARENA_DISTANCES","DARK",11,0,0,0,533,0,0,19,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,1.779022,0.000000,0.000000,0.000824,0.000000,0.000000,0.000000,0.000000,0.000000
"750.625",,"ARENA_DISTANCES","DARK",12,0,0,0,318,0,0,20,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,2.976715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"810.651",,"ARENA_DISTANCES","DARK",13,0,0,0,203,0,0,19,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,4.356354,0.000000,0.000000,0.018738,0.000000,0.000000,0.000000,0.000000,0.000000
"870.671",,"ARENA_DISTANCES","DARK",14,0,10,0,639,0,0,40,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,2.181152,0.000000,0.000000,0.071335,0.000000,0.000000,0.000000,0.000000,0.000000
"930.697",,"ARENA_DISTANCES","DARK",15,0,0,0,234,0,0,0,0,0,0,45,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.706146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"990.714",,"ARENA_DISTANCES","DARK",16,0,0,0,288,0,0,6,0,0,0,13,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,14.149231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1050.738",,"ARENA_DISTANCES","DARK",17,0,0,0,0,0,0,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015
"1110.759",,"ARENA_DISTANCES","DARK",18,0,0,0,0,0,0,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1170.782",,"ARENA_DISTANCES","DARK",19,0,0,0,0,0,0,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
